housing_ID,building_bumber,house_bumber,population,x,y,street_ID,region
1,11,1060,2417,57.9025,62.13233333,C0035,5
2,37,4171,9080,51.79225,61.60666667,C0048,5
3,3,480,1333,54.80225,54.881,C0010,5
4,19,1093,2658,54.21575,67.84233333,C0053,5
5,15,1330,3033,56.7305,61.47933333,C0035,5
6,11,2546,5450,47.82175,65.638,C0054,5
7,10,1365,3806,57.871,59.009,C0024,5
8,27,1996,4853,53.9115,68.63166667,C0053,5
9,10,972,2002,54.8905,67.575,C0034,5
10,20,762,2775,57.7405,64.64233333,C0029,5
11,12,1415,3504,58.35525,69.70933333,C0030,5
12,9,575,1184,54.7115,61.394,C0034,5
13,5,624,2272,57.81225,65.95966667,C0029,5
14,23,2167,5498,53.98225,72.23533333,C0056,5
15,16,711,2589,57.75,62.89866667,C0029,5
16,34,2403,8007,60.693,66.162,C0040,5
17,13,1309,2766,57.776,59.85366667,C0027,5
18,38,4237,8960,58.34025,68.891,C0041,5
19,9,625,1548,58.5285,66.31233333,C0030,5
20,25,1217,3395,58.4545,58.33766667,C0024,5
21,7,415,1027,58.94275,62.983,C0030,5
22,21,1578,3825,46.35725,60.52333333,C0049,5
23,18,687,1566,57.688,63.829,C0035,5
24,17,775,1837,58.78325,63.85566667,C0023,5
25,5,975,2176,53.817,56.406,C0019,5
26,3,1310,2900,63.41525,53.26933333,C0018,5
27,10,609,1290,52.57475,62.80033333,C0047,5
28,13,574,1361,58.748,64.52433333,C0023,5
29,13,964,2000,60.34775,57.419,C0026,5
30,13,1691,4008,60.7765,62.90566667,C0023,5
31,21,3174,6491,62.0865,49.137,C0058,5
32,3,295,673,56.6375,60.85733333,C0035,5
33,11,1340,2831,59.83775,62.90666667,C0027,5
34,13,1454,3075,59.6325,65.77666667,C0041,5
35,34,1868,4109,60.917,65.80566667,C0039,5
36,4,875,2009,57.38075,50.39333333,C0006,5
37,20,1239,2766,48.22975,64.22666667,C0051,5
38,17,967,2065,50.00025,62.728,C0045,5
39,4,587,1383,53.61875,56.017,C0020,5
40,33,1758,3924,55.077,60.05933333,C0019,5
41,9,1064,2654,59.88575,63.489,C0028,5
42,7,350,722,52.7995,50.09033333,C0015,5
43,20,1336,2982,49.933,64.77166667,C0051,5
44,10,774,1722,52.343,65.14366667,C0043,5
45,3,256,812,55.08825,59.04633333,C0033,5
46,29,2270,5371,61.108,51.88166667,C0022,5
47,14,1078,2238,50.79075,63.61733333,C0042,5
48,10,1218,3719,58.61275,50.521,C0002,5
49,2,563,1963,59.2395,54.91666667,C0025,5
50,12,1677,3868,65.043,65.54233333,C0031,5
51,15,844,1982,63.6135,60.027,C0037,5
52,7,552,1228,53.57025,66.15133333,C0043,5
53,21,1250,3479,51.426,67.849,C0055,5
54,17,1233,3432,50.323,68.87133333,C0055,5
55,2,616,1472,45.091,60.59,C0046,5
56,10,559,1194,49.09525,64.29533333,C0045,5
57,7,611,1316,50.98475,65.579,C0044,5
58,4,421,960,55.13225,59.117,C0035,5
59,1,210,662,54.4555,50.27333333,C0011,5
60,4,475,1024,63.00525,49.81533333,C0003,5
61,11,650,1351,56.94125,57.077,C0021,5
62,6,421,874,60.59975,56.74466667,C0026,5
63,7,590,1260,50.2475,63.85266667,C0045,5
64,11,540,1202,51.55975,66.71966667,C0043,5
65,12,1045,2168,60.34775,57.419,C0026,5
66,17,1381,3205,58.95875,60.10766667,C0032,5
67,10,571,1186,50.39475,64.6,C0042,5
68,7,1703,3762,58.765,53.25366667,C0016,5
69,7,643,1333,61.59875,55.67133333,C0026,5
70,9,764,1700,51.85475,65.743,C0043,5
71,11,820,1785,48.9105,62.95133333,C0048,5
72,9,659,1459,63.52425,55.13,C0018,5
73,7,446,992,51.7395,65.18966667,C0043,5
74,5,811,2023,62.1765,59.60833333,C0028,5
75,15,2015,4649,64.1065,64.57933333,C0031,5
76,3,1547,3602,55.07075,55.23033333,C0013,5
77,10,865,1796,50.4975,64.88233333,C0042,5
78,7,1405,3400,57.13075,48.42,C0001,5
79,3,448,923,54.72475,60.65566667,C0034,5
80,6,280,577,55.0225,62.24566667,C0034,5
81,5,371,886,44.716,62.011,C0046,5
82,9,581,1349,57.9535,56.54433333,C0032,5
83,7,491,1246,53.98225,72.23533333,C0056,5
84,4,552,1285,53.5485,51.73033333,C0013,5
85,11,810,1834,47.7665,64.047,C0050,5
86,12,911,2016,63.4415,56.01966667,C0018,5
87,14,557,1331,45.3545,61.48766667,C0046,5
88,1,89,203,56.307,58.83566667,C0035,5
89,3,354,788,53.5545,67.99033333,C0043,5
90,7,513,1096,50.51675,63.039,C0045,5
91,3,236,491,55.15325,57.427,C0021,5
92,13,843,1801,50.15575,61.63833333,C0045,5
93,4,152,313,55.38425,61.44333333,C0034,5
94,10,731,1516,61.60575,56.619,C0026,5
95,5,367,855,53.48425,52.09533333,C0013,5
96,10,617,1496,49.0225,61.387,C0049,5
97,13,908,2265,60.34425,58.37033333,C0028,5
98,10,948,2042,52.81475,63.788,C0044,5
99,16,1735,3574,58.6385,69.42866667,C0034,5
100,10,625,1346,50.4215,63.37833333,C0044,5
101,10,618,1715,63.67875,59.481,C0036,5
102,5,529,1246,53.89575,55.53566667,C0020,5
103,6,390,905,56.99075,59.61,C0032,5
104,6,472,1144,46.39425,61.20433333,C0049,5
105,4,385,801,58.9515,56.36433333,C0021,5
106,3,185,381,55.17275,59.019,C0034,5
107,4,250,519,60.11975,56.72233333,C0026,5
108,4,418,1545,57.0785,52.74566667,C0009,5
109,6,524,1307,58.77725,60.69466667,C0028,5
110,8,596,1262,51.6905,59.08066667,C0047,5
111,3,227,480,51.1395,62.86766667,C0047,5
112,5,235,484,54.5835,62.755,C0034,5
113,1,97,252,56.57275,50.26366667,C0008,5
114,15,835,2632,54.5625,52.53766667,C0011,5
115,4,246,511,56.75025,58.644,C0021,5
116,10,635,1405,62.63975,57.45333333,C0018,5
117,7,520,1148,59.00125,51.34233333,C0016,5
118,4,133,274,52.2165,50.612,C0015,5
119,3,218,462,52.477,62.38966667,C0047,5
120,1,37,77,56.075,60.23,C0034,5
121,8,578,1267,51.5605,50.32833333,C0014,5
122,4,184,394,48.9355,63.92966667,C0054,5
123,13,1298,4224,54.607,50.953,C0012,5
124,1,363,802,59.97825,54.99133333,C0016,5
125,5,391,843,49.22475,63.62666667,C0044,5
